loan_amnt,term,int_rate,emp_length,home_ownership,annual_inc,purpose,addr_state,dti,delinq_2yrs,revol_util,total_acc,bad_loan,longest_credit_length,verification_status
10000,36 months,11.67,3.0,RENT,50000.0,credit_card,PA,23.02,0.0,53.8,21.0,0,9.0,not verified
7500,36 months,8.0,4.0,OTHER,125000.0,other,TX,5.46,0.0,20.3,15.0,0,26.0,not verified
10000,60 months,22.200000000000003,8.0,RENT,65000.0,debt_consolidation,CO,11.94,0.0,89.9,17.0,0,7.0,verified
25000,60 months,13.98,10.0,MORTGAGE,70000.0,debt_consolidation,MD,19.32,0.0,20.6,28.0,0,13.0,verified
25450,60 months,19.72,1.0,RENT,57000.0,debt_consolidation,NY,1.58,0.0,3.7,62.0,1,19.0,verified
19200,60 months,8.9,4.0,MORTGAGE,48000.0,home_improvement,CA,8.03,0.0,0.2,23.0,0,12.0,verified
16800,60 months,17.51,9.0,MORTGAGE,40000.0,debt_consolidation,MO,19.14,0.0,61.0,30.0,0,11.0,verified
20000,36 months,9.76,2.0,MORTGAGE,89000.0,credit_card,AK,9.8,0.0,77.4,31.0,0,11.0,verified
20000,36 months,11.99,1.0,RENT,76500.0,debt_consolidation,IL,11.65,0.0,50.900000000000006,16.0,0,14.0,verified
6000,36 months,13.49,10.0,RENT,72000.0,other,CA,6.43,2.0,49.8,16.0,1,18.0,verified
6000,36 months,9.25,0.0,RENT,60000.0,debt_consolidation,CA,8.540000000000001,0.0,83.7,9.0,0,5.0,verified
6600,36 months,10.99,5.0,MORTGAGE,59592.0,car,NJ,11.44,0.0,36.6,31.0,0,12.0,not verified
15000,36 months,7.9,7.0,RENT,47000.0,credit_card,CO,17.36,0.0,60.0,18.0,0,6.0,not verified
6000,36 months,6.62,10.0,MORTGAGE,49000.0,credit_card,MI,25.03,0.0,18.9,34.0,0,18.0,verified
4025,36 months,14.64,10.0,RENT,48000.0,credit_card,IL,13.18,0.0,35.0,15.0,0,19.0,not verified
15000,36 months,16.240000000000002,5.0,RENT,52900.0,debt_consolidation,CA,11.27,0.0,22.6,22.0,1,9.0,not verified
35000,60 months,20.62,10.0,MORTGAGE,220000.0,debt_consolidation,SC,17.41,1.0,89.9,30.0,0,17.0,verified
5500,36 months,6.54,4.0,RENT,23000.0,car,WA,20.77,0.0,13.9,8.0,0,4.0,verified
13625,36 months,17.57,3.0,RENT,38000.0,debt_consolidation,MD,24.38,0.0,39.3,30.0,0,20.0,not verified
12000,36 months,12.12,1.0,OWN,95000.0,debt_consolidation,IL,15.18,0.0,62.2,43.0,0,12.0,not verified
20000,36 months,7.9,10.0,MORTGAGE,70000.0,debt_consolidation,MO,26.200000000000003,0.0,43.1,31.0,0,21.0,not verified
9450,60 months,19.72,0.0,RENT,50000.0,other,TN,18.56,0.0,38.7,26.0,0,11.0,verified
8000,36 months,7.49,9.0,RENT,35000.0,debt_consolidation,CA,14.33,0.0,65.8,26.0,0,14.0,not verified
21000,36 months,12.12,1.0,RENT,73000.0,debt_consolidation,NY,14.83,1.0,75.0,20.0,0,12.0,verified
9600,36 months,19.47,10.0,MORTGAGE,131678.0,other,LA,25.91,0.0,66.10000000000001,47.0,0,34.0,not verified
6500,36 months,15.81,0.0,RENT,100000.0,medical,MA,17.98,0.0,64.7,30.0,0,11.0,verified
10050,36 months,15.8,,OWN,30000.0,debt_consolidation,VA,21.56,1.0,55.1,35.0,0,25.0,verified
7750,36 months,6.62,1.0,RENT,75000.0,small_business,CA,6.51,0.0,2.6,8.0,0,5.0,verified
20000,60 months,15.59,4.0,RENT,60000.0,debt_consolidation,CA,24.46,0.0,49.3,46.0,1,14.0,verified
10000,36 months,7.1400000000000015,0.0,MORTGAGE,90000.0,major_purchase,DC,7.55,0.0,14.3,12.0,0,22.0,not verified
19200,60 months,21.99,5.0,MORTGAGE,48000.0,debt_consolidation,GA,23.72,1.0,74.2,28.0,0,11.0,verified
35000,60 months,15.88,10.0,MORTGAGE,110000.0,credit_card,VA,8.42,0.0,18.0,29.0,0,21.0,verified
7500,36 months,13.11,4.0,RENT,39000.0,debt_consolidation,TX,27.75,0.0,27.200000000000006,31.0,0,21.0,verified
5400,36 months,17.27,5.0,RENT,39000.0,debt_consolidation,NJ,19.5,0.0,85.0,21.0,0,10.0,not verified
7000,60 months,16.02,10.0,MORTGAGE,40000.0,home_improvement,MI,5.64,0.0,74.3,15.0,1,7.0,verified
20000,36 months,13.99,9.0,RENT,56400.0,credit_card,CA,8.26,0.0,52.40000000000001,38.0,0,11.0,verified
3000,36 months,11.14,0.0,RENT,70000.0,moving,DC,7.75,0.0,71.5,28.0,0,10.0,verified
11200,36 months,14.33,6.0,RENT,55000.0,credit_card,KY,12.04,0.0,72.9,29.0,0,19.0,verified
1500,36 months,15.1,5.0,MORTGAGE,135000.0,major_purchase,LA,7.45,0.0,88.10000000000001,28.0,0,21.0,not verified
34000,36 months,10.64,0.0,RENT,116000.0,credit_card,WA,6.07,1.0,35.300000000000004,26.0,0,28.0,verified
9950,36 months,24.5,,MORTGAGE,58000.0,debt_consolidation,MI,18.54,0.0,93.4,17.0,0,10.0,verified
8400,36 months,11.55,2.0,MORTGAGE,50000.0,debt_consolidation,NC,12.77,0.0,81.60000000000001,18.0,1,14.0,not verified
35000,36 months,16.29,2.0,MORTGAGE,100000.0,debt_consolidation,IN,6.53,0.0,39.5,33.0,1,13.0,verified
19075,36 months,15.88,10.0,RENT,120000.0,credit_card,NY,8.02,0.0,32.7,15.0,0,12.0,verified
24500,36 months,8.6,10.0,MORTGAGE,75000.0,credit_card,CA,11.26,0.0,70.4,17.0,0,40.0,verified
4000,36 months,7.62,10.0,MORTGAGE,80000.0,home_improvement,TN,21.36,0.0,15.0,47.0,0,15.0,not verified
10000,36 months,16.990000000000002,8.0,MORTGAGE,40000.0,moving,LA,29.49,0.0,20.700000000000006,39.0,0,13.0,verified
8000,36 months,11.99,7.0,MORTGAGE,60000.0,debt_consolidation,NY,12.14,0.0,71.3,35.0,0,10.0,verified
30000,60 months,23.83,10.0,MORTGAGE,129000.0,debt_consolidation,NJ,28.07,0.0,65.2,52.0,0,19.0,verified
3600,36 months,17.57,10.0,MORTGAGE,65000.0,other,AL,20.46,0.0,73.7,42.0,0,25.0,not verified
3025,36 months,11.14,7.0,RENT,60000.0,debt_consolidation,WY,23.46,0.0,58.6,32.0,0,9.0,verified
14750,36 months,18.49,10.0,MORTGAGE,56500.0,debt_consolidation,FL,30.86,0.0,78.10000000000001,33.0,0,18.0,verified
21000,60 months,9.25,8.0,MORTGAGE,70500.0,debt_consolidation,NC,21.31,0.0,27.6,28.0,0,20.0,verified
19500,36 months,15.27,10.0,MORTGAGE,105290.0,debt_consolidation,WI,12.87,0.0,50.7,47.0,0,15.0,not verified
23275,36 months,12.42,10.0,MORTGAGE,60000.0,debt_consolidation,FL,19.84,0.0,61.6,24.0,0,36.0,verified
20000,36 months,12.12,6.0,OWN,56680.0,debt_consolidation,MI,6.7700000000000005,0.0,35.300000000000004,13.0,0,12.0,verified
10000,36 months,17.57,10.0,MORTGAGE,49000.0,debt_consolidation,CA,11.49,0.0,40.5,30.0,0,20.0,not verified
19400,60 months,18.24,10.0,MORTGAGE,64000.0,debt_consolidation,FL,16.35,0.0,71.0,33.0,0,22.0,verified
15000,36 months,9.88,5.0,MORTGAGE,48840.0,debt_consolidation,PA,13.51,0.0,34.0,16.0,0,12.0,not verified
26000,36 months,14.09,10.0,MORTGAGE,100000.0,debt_consolidation,MO,10.94,0.0,93.6,36.0,0,23.0,verified
16800,36 months,16.78,5.0,RENT,77500.0,debt_consolidation,NY,14.97,0.0,63.8,17.0,1,9.0,not verified
20000,36 months,11.49,1.0,MORTGAGE,124596.0,debt_consolidation,TX,15.25,0.0,53.900000000000006,33.0,0,10.0,verified
17400,36 months,8.9,1.0,MORTGAGE,120000.0,debt_consolidation,MA,16.18,0.0,89.7,43.0,0,14.0,not verified
13000,36 months,9.76,10.0,OWN,86000.0,debt_consolidation,TX,4.86,0.0,5.6000000000000005,38.0,0,20.0,verified
2000,36 months,7.62,8.0,MORTGAGE,173321.0,major_purchase,CA,3.77,0.0,0.0,11.0,0,15.0,verified
18000,60 months,22.95,3.0,RENT,53000.0,credit_card,WA,18.95,0.0,75.3,16.0,0,9.0,verified
9500,36 months,9.99,10.0,RENT,36000.0,debt_consolidation,NY,26.31,0.0,32.1,18.0,0,12.0,verified
3600,36 months,7.49,5.0,MORTGAGE,40000.0,house,IL,1.14,0.0,11.8,24.0,0,8.0,verified
23000,36 months,13.67,10.0,RENT,58000.0,debt_consolidation,OR,11.79,0.0,76.10000000000001,28.0,0,21.0,verified
5400,36 months,12.84,3.0,MORTGAGE,29996.0,home_improvement,TX,1.72,0.0,3.6,15.0,0,10.0,not verified
4000,36 months,8.9,10.0,MORTGAGE,50000.0,home_improvement,FL,22.63,0.0,70.8,44.0,0,18.0,not verified
